ID	Name	Name_in_Source	Glottocode
Russian	Russian	Rus	russ1263
Lithuanian	Lithuanian	Lit	lith1251
OldIcelandic	Old Icelandic	oIs	
Bokmal	Bokmål	Bkm	
OldIrish	Old Irish	oIr	oldi1245
ModernIrish	Mod. Irish	rIr	iris1253
Italian	Italian	Itn	ital1282
Latin	Latin	Lat	Lati1261
Albanian	Albanian	Alb	gheg1238
AncientGreek	Anc. Greek	aGr	anci1242
ModernGreek	Mod. Greek	rGr	mode1248
ModernArmenian	Mod. Armenian	Arm	homs1234
Hittite	Hittite	Hit	hitt1242
TocharianB	Tocharian-B	ToB	
Avestan	Avestan	Ave	aves1237
VedicSanskrit	Vedic Sanskrit	San	sans1269
Hindi	Hindi	Hnd	
